Frame,Sim_Time,Active_Watts,Base100_Watts,Base70_Watts,Savings_vs_100,Savings_vs_70
639,14.2,392.0,400.0,280.0,2.0,-40.0
642,14.27,393.5,400.0,280.0,1.6,-40.5
645,14.33,395.0,400.0,280.0,1.2,-41.1
648,14.4,396.5,400.0,280.0,0.9,-41.6
651,14.47,398.0,400.0,280.0,0.5,-42.1
654,14.53,398.0,400.0,280.0,0.5,-42.1
657,14.6,398.0,400.0,280.0,0.5,-42.1
660,14.67,398.0,400.0,280.0,0.5,-42.1
663,14.73,398.0,400.0,280.0,0.5,-42.1
666,14.8,398.0,400.0,280.0,0.5,-42.1
669,14.87,398.0,400.0,280.0,0.5,-42.1
672,14.93,398.0,400.0,280.0,0.5,-42.1
675,15.0,398.0,400.0,280.0,0.5,-42.1
678,15.07,398.0,400.0,280.0,0.5,-42.1
681,15.13,398.0,400.0,280.0,0.5,-42.1
684,15.2,398.0,400.0,280.0,0.5,-42.1
687,15.27,398.0,400.0,280.0,0.5,-42.1
690,15.33,398.0,400.0,280.0,0.5,-42.1
693,15.4,398.0,400.0,280.0,0.5,-42.1
696,15.47,398.5,400.0,280.0,0.4,-42.3
699,15.53,399.0,400.0,280.0,0.2,-42.5
702,15.6,399.5,400.0,280.0,0.1,-42.7
705,15.67,400.0,400.0,280.0,0.0,-42.9
708,15.73,400.0,400.0,280.0,0.0,-42.9
711,15.8,400.0,400.0,280.0,0.0,-42.9
714,15.87,400.0,400.0,280.0,0.0,-42.9
717,15.93,400.0,400.0,280.0,0.0,-42.9
720,16.0,400.0,400.0,280.0,0.0,-42.9
723,16.07,400.0,400.0,280.0,0.0,-42.9
726,16.13,400.0,400.0,280.0,0.0,-42.9
729,16.2,400.0,400.0,280.0,0.0,-42.9
732,16.27,400.0,400.0,280.0,0.0,-42.9
735,16.33,400.0,400.0,280.0,0.0,-42.9
738,16.4,400.0,400.0,280.0,0.0,-42.9
741,16.47,400.0,400.0,280.0,0.0,-42.9
744,16.53,400.0,400.0,280.0,0.0,-42.9
747,16.6,400.0,400.0,280.0,0.0,-42.9
750,16.67,400.0,400.0,280.0,0.0,-42.9
753,16.73,400.0,400.0,280.0,0.0,-42.9
756,16.8,400.0,400.0,280.0,0.0,-42.9
759,16.87,400.0,400.0,280.0,0.0,-42.9
762,16.93,400.0,400.0,280.0,0.0,-42.9
765,17.0,400.0,400.0,280.0,0.0,-42.9
768,17.07,400.0,400.0,280.0,0.0,-42.9
771,17.13,400.0,400.0,280.0,0.0,-42.9
774,17.2,400.0,400.0,280.0,0.0,-42.9
777,17.27,400.0,400.0,280.0,0.0,-42.9
780,17.33,400.0,400.0,280.0,0.0,-42.9
783,17.4,400.0,400.0,280.0,0.0,-42.9
786,17.47,400.0,400.0,280.0,0.0,-42.9
789,17.53,400.0,400.0,280.0,0.0,-42.9
792,17.6,400.0,400.0,280.0,0.0,-42.9
795,17.67,400.0,400.0,280.0,0.0,-42.9
798,17.73,400.0,400.0,280.0,0.0,-42.9
801,17.8,400.0,400.0,280.0,0.0,-42.9
804,17.87,400.0,400.0,280.0,0.0,-42.9
807,17.93,400.0,400.0,280.0,0.0,-42.9
810,18.0,400.0,400.0,280.0,0.0,-42.9
813,18.07,400.0,400.0,280.0,0.0,-42.9
816,18.13,400.0,400.0,280.0,0.0,-42.9
819,18.2,400.0,400.0,280.0,0.0,-42.9
822,18.27,400.0,400.0,280.0,0.0,-42.9
825,18.33,400.0,400.0,280.0,0.0,-42.9
828,18.4,400.0,400.0,280.0,0.0,-42.9
831,18.47,400.0,400.0,280.0,0.0,-42.9
834,18.53,400.0,400.0,280.0,0.0,-42.9
837,18.6,400.0,400.0,280.0,0.0,-42.9
840,18.67,400.0,400.0,280.0,0.0,-42.9
843,18.73,400.0,400.0,280.0,0.0,-42.9
846,18.8,400.0,400.0,280.0,0.0,-42.9
849,18.87,400.0,400.0,280.0,0.0,-42.9
852,18.93,400.0,400.0,280.0,0.0,-42.9
855,19.0,400.0,400.0,280.0,0.0,-42.9
858,19.07,400.0,400.0,280.0,0.0,-42.9
861,19.13,400.0,400.0,280.0,0.0,-42.9
864,19.2,400.0,400.0,280.0,0.0,-42.9
867,19.27,399.7,400.0,280.0,0.1,-42.7
870,19.33,399.7,400.0,280.0,0.1,-42.7
873,19.4,399.7,400.0,280.0,0.1,-42.7
876,19.47,399.7,400.0,280.0,0.1,-42.7
879,19.53,399.7,400.0,280.0,0.1,-42.7
882,19.6,399.5,400.0,280.0,0.1,-42.7
885,19.67,399.5,400.0,280.0,0.1,-42.7
888,19.73,399.5,400.0,280.0,0.1,-42.7
891,19.8,399.5,400.0,280.0,0.1,-42.7
894,19.87,399.5,400.0,280.0,0.1,-42.7
897,19.93,397.5,400.0,280.0,0.6,-42.0
900,20.0,395.5,400.0,280.0,1.1,-41.2
903,20.07,393.5,400.0,280.0,1.6,-40.5
906,20.13,391.5,400.0,280.0,2.1,-39.8
909,20.2,389.5,400.0,280.0,2.6,-39.1
912,20.27,387.5,400.0,280.0,3.1,-38.4
915,20.33,385.5,400.0,280.0,3.6,-37.7
918,20.4,383.5,400.0,280.0,4.1,-37.0
921,20.47,381.5,400.0,280.0,4.6,-36.2
924,20.53,380.0,400.0,280.0,5.0,-35.7
927,20.6,380.0,400.0,280.0,5.0,-35.7
